PRECIOS PAGADOS EN ASTURIAS. Año 2016;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;
;Maíz grano híbrido;€/kilo;;;;;86,9;86,9;;;;;;;86,9;
;Maíz forrajero;€/kilo;6,13;6,13;6,13;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,35;
701112;Judía verde;€/kilo;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,7;1,7;1,82;1,71;1,82;1,7;1,7;1,75;1,73;1,73;1,73;1,73;1,74;
Varios;;;;;;;;;;;;;;;;
;Lámina de plástico para silo;€/100 kilos;150;150;150;150;150;150;150;150;150;150;150;150;150;
;ACEITE M-3 envase 5 litros ;€/litro;;;;;;;;;;;;;;
;"Gas-oil ""B""";€/litro;0,51;0,49;0,46;0,46;0,53;0,52;0,5;0,51;0,53;0,58;0,52;0,52;0,51;
Fertilizantes simples;;;;;;;;;;;;;;;;
702104;Nitrato amónico cálcico 26%;€/100 kilos;33,83;32,5;32,24;32,24;31,91;31,92;31,92;31,56;31,56;31,56;31,91;31,91;32,09;
702108;Superfosfato de cal 18% (grano);€/100 kilos;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;
702111;Sulfato potásico 50%;€/100 kilos;57,5;57,5;61,25;61,25;61,25;57,5;73,25;51,1;51,1;57,5;57,5;57,5;58,68;
Fertilizantes complejos;;;;;;;;;;;;;;;;
702207;8/15/15;€/100 kilos;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;
702209;8/24/16;€/100 kilos;46,14;46,32;46,32;46,32;46,17;44,82;44,82;45,95;45,95;45,95;44,8;44,8;45,7;
702210;9/18/27;€/100 kilos;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;
702213;15/15/15;€/100 kilos;41,99;41,84;42,71;42,71;42,71;40,97;40,97;40,62;40,62;40,62;40,95;40,95;41,47;
Piensos simples ;;;;;;;;;;;;;;;;
703101;Trigo;€/100 kilos;26,16;26,16;26,41;26,03;26,03;25,45;25,6;26,06;25,93;25,93;25,44;25,44;25,89;
703102;Cebada;€/100 kilos;24,17;24,02;24,17;23,92;23,92;23,22;22,27;22,71;22,59;22,22;21,77;21,77;23,06;
703103;Avena;€/100 kilos;27,22;27,22;27,22;27,22;27,22;26,55;26,25;26,28;26,28;25,95;25,95;25,95;26,61;
703104;Maíz;€/100 kilos;24,05;24,05;24,28;24,28;24,28;23,74;23,52;24,21;24,21;24,21;23,98;23,98;24,07;
703105;Salvado de trigo;€/100 kilos;25,44;25,44;26,04;25,54;26,04;25,44;25,59;26,12;26,12;26,12;26,12;26,12;25,84;
703106;Paja de cereales;€/100 kilos;10,54;10,74;11,54;12,04;11,87;11,31;10,56;9,08;9,08;9,08;9,08;9,08;10,33;
703107;Harina de soja;€/100 kilos;41,82;39,86;39,86;38,61;40;40,75;41,61;43,6;43,1;43,1;43,1;43,1;41,54;
703111;Pulpa de remolacha;€/100 kilos;23,41;22,96;23,51;22,59;23,34;23,34;23,04;22,91;22,91;22,91;22,82;22,82;23,05;
703113;Alfalfa deshidratada;€/100 kilos;23,01;22,41;21,98;22,78;21,64;21,48;21,48;21,08;20,58;20,48;20,48;20,48;21,49;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;95,6;95,6;95,6;95,6;96,2;96,2;96,2;96,2;96,95;96,95;96,95;96,95;96,25;
703212;Terneros cría;€/100 kilos;32,04;31,81;33,84;33,84;33,54;33,54;33,69;33,69;33,69;33,69;31,66;31,66;33,06;
703213;Terneros recría y cebo;€/100 kilos;29,31;29,08;29,08;29,08;28,78;28,78;28,86;28,86;28,86;28,86;28,79;28,79;28,93;
703214;Vacuno de leche;€/100 kilos;29,81;29,45;29,66;29,66;29,66;29,66;29,73;29,73;29,73;29,73;29,56;29,56;29,66;
703215;Vacuno de carne;€/100 kilos;28,45;28,15;28,15;28,15;27,75;27,75;27,75;27,75;27,75;27,75;26,88;26,88;27,76;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;35,7;35,7;35,7;35,7;35,7;35,7;35,26;35,26;35,26;35,26;35,26;35,26;35,48;
703223;Ovejas y cabras en lactación;€/100 kilos;32,13;32,13;30,2;30,2;30,2;30,2;30,2;30,2;30,2;30,2;31,7;31,7;30,77;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;39,74;39,24;38,9;38,9;38,9;38,9;38,9;38,9;38,9;38,9;37,66;37,66;38,79;
703232;Cerdos crecimiento y cebo;€/100 kilos;31,56;31,26;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,56;
703233;Cerdos reproductores;€/100 kilos;31,96;31,56;32,61;32,61;32,61;32,61;32,61;32,61;32,61;32,61;31,65;31,65;32,31;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;32,37;31,67;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,6;
Aves;;;;;;;;;;;;;;;;
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;
703252;Gallinas Ponedoras;€/100 kilos;36,81;36,36;36,36;36,36;36,36;36,36;36,66;36,66;36,66;36,66;36,66;36,66;36,55;
703253;Pollos de carne;€/100 kilos;37,87;37,42;37,42;37,42;37,42;37,42;37,8;37,8;37,8;37,8;37,8;37,79;37,65;
Fte: Cooperativas Asturias.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRECIOS PAGADOS EN ASTURIAS. Año 2017;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;
;Maíz grano híbrido;€/kilo;;;;;;;;;;;;;;
;Maíz forrajero;€/kilo;6,42;6,42;6,42;7,3;7,3;7,3;6,64;6,64;6,64;6,64;6,64;6,64;6,64;
701112;Judía verde;€/kilo;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,73;1,73;1,85;1,73;1,73;1,73;1,73;1,73;1,85;1,85;1,85;1,91;1,82;
Varios;;;;;;;;;;;;;;;;
;Lámina de plástico para silo;€/100 kilos;150;150;150;181,5;181,5;181,5;150;150;150;150;150;150;150;
;ACEITE M-3 envase 5 litros ;€/litro;;;;;;;;;;;;;;
;"Gas-oil ""B""";€/litro;0,57;0,58;0,58;0,55;0,54;0,52;0,57;0,58;0,59;0,62;0,65;0,65;0,58;
Fertilizantes simples;;;;;;;;;;;;;;;;
702104;Nitrato amónico cálcico 26%;€/100 kilos;30,51;30,88;29,87;26,25;27,49;27,49;26,7;26,7;26,7;26,7;26,7;26,82;26,72;
702108;Superfosfato de cal 18% (grano);€/100 kilos;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;
702111;Sulfato potásico 50%;€/100 kilos;57,5;57,5;57,5;77,58;77,58;77,58;57,5;57,5;57,5;57,5;57,5;57,5;57,5;
Fertilizantes complejos;;;;;;;;;;;;;;;;
702207;8/15/15;€/100 kilos;37,16;36,99;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;
702209;8/24/16;€/100 kilos;41,81;41,81;41,06;40,24;40,24;40,24;41,23;41,23;42,26;42,26;42,26;41,23;41,75;
702210;9/18/27;€/100 kilos;47,88;47,88;47,03;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;
702213;15/15/15;€/100 kilos;39,47;39,47;38,16;38,16;38,16;37,16;36,21;36,21;37,16;37,16;37,16;38,16;37,01;
Piensos simples ;;;;;;;;;;;;;;;;
703101;Trigo;€/100 kilos;25,31;25,31;25,31;25,31;25,19;25,56;25,94;25,69;26,94;26,94;26,44;26,69;26,44;
703102;Cebada;€/100 kilos;21,9;22,12;22,12;21,9;21,9;22,27;23,33;23,1;23,33;23,33;23,45;23,39;23,32;
703103;Avena;€/100 kilos;25,75;25,75;25,75;25,81;25,81;26,19;26,25;26,25;26,58;34,33;34,33;32,51;30,04;
703104;Maíz;€/100 kilos;23,9;23,9;23,9;23,9;23,98;23,98;24,48;24,48;25,07;25,07;24,83;25,07;24,83;
703105;Salvado de trigo;€/100 kilos;25,59;25,59;26,19;25,59;25,59;25,59;26,19;25,59;26,19;26,19;26,19;26,19;26,09;
703106;Paja de cereales;€/100 kilos;9,08;9,08;9,28;9,26;9,26;10,71;11,87;11,87;12,38;11,97;11,97;11,97;12,01;
703107;Harina de soja;€/100 kilos;42,22;43,2;43,2;42,22;42,1;41,97;42,2;42,2;41,1;41,1;40,85;41,4;41,48;
703111;Pulpa de remolacha;€/100 kilos;22,61;22,61;23,16;22,09;22,09;22,21;23,36;24,24;24,15;24,15;24,15;23,86;23,99;
703113;Alfalfa deshidratada;€/100 kilos;20,31;20,31;20,31;19,97;20,22;20,74;20,74;20,74;20,74;20,74;20,74;20,74;20,74;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;96,95;
703212;Terneros cría;€/100 kilos;31,59;31,59;32,39;31,59;31,59;31,59;31,84;31,84;31,84;31,84;31,84;33,86;32,18;
703213;Terneros recría y cebo;€/100 kilos;28,54;29,2;28,54;28,54;28,54;28,54;28,79;28,79;29,45;29,45;29,45;28,34;29,05;
703214;Vacuno de leche;€/100 kilos;29,21;29,21;29,21;29,21;29,21;29,21;29,7;29,7;29,82;29,82;29,82;29,45;29,72;
703215;Vacuno de carne;€/100 kilos;27,85;27,85;27,85;27,32;27,32;27,32;27,78;27,78;28,27;28,27;28,27;27,42;27,97;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;34,65;34,65;34,65;34,65;34,65;34,65;34,92;34,92;34,92;34,92;34,92;34,92;34,92;
703223;Ovejas y cabras en lactación;€/100 kilos;31,64;31,64;31,64;31,64;31,64;31,64;30,2;30,2;31,64;31,64;31,64;31,64;31,16;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;38,9;38,9;38,9;38,9;38,9;38,9;38,9;38,9;37,66;37,66;37,66;37,66;38,07;
703232;Cerdos crecimiento y cebo;€/100 kilos;32,36;31,59;31,59;31,59;31,59;31,59;31,67;31,67;31,67;31,67;31,67;31,3;31,61;
703233;Cerdos reproductores;€/100 kilos;32,61;32,61;32,61;32,61;32,61;32,61;31,56;31,56;29,9;29,9;29,9;31,56;30,73;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;31,95;31,95;31,95;31,22;31,22;31,22;31,22;31,22;31,95;31,95;31,95;31,95;31,71;
Aves;;;;;;;;;;;;;;;;
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;
703252;Gallinas Ponedoras;€/100 kilos;37,76;37,76;36,88;36,88;36,88;36,88;37,56;37,56;37,56;37,56;37,56;37,56;37,56;
703253;Pollos de carne;€/100 kilos;39,18;39,18;38,24;38,24;38,24;38,24;38,09;38,09;38,74;38,74;38,74;38,74;38,52;
Fte: Cooperativas Asturias.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRECIOS PAGADOS EN ASTURIAS. Año 2018;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;0,52;
;Maíz grano híbrido;€/kilo;;;;;;;;;;;;;;
;Maíz forrajero;€/kilo;6,64;6,64;6,64;6,64;6,64;7,33;7,33;6,64;7;6,64;6,64;6,64;6,7;
701112;Judía verde;€/kilo;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,91;1,73;1,73;1,73;1,73;1,73;1,73;1,8;1,8;1,28;1,28;1,8;1,65;
Varios;;;;;;;;;;;;;;;;
;Lámina de plástico para silo;€/100 kilos;150;;150;150;150;150;150;150;150;;;150;150;
;ACEITE M-3 envase 5 litros ;€/litro;;;;;;;;;;;;;;
;"Gas-oil ""B""";€/litro;0,65;0,59;0,65;0,68;0,76;0,76;0,76;0,76;0,76;0,69;0,69;0,7;0,7;
Fertilizantes simples;;;;;;;;;;;;;;;;
702104;Nitrato amónico cálcico 26%;€/100 kilos;26,82;27,03;27,55;27,55;27,55;27,55;27,55;27,55;27,55;27,55;27,55;27,55;27,55;
702108;Superfosfato de cal 18% (grano);€/100 kilos;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;23,38;
702111;Sulfato potásico 50%;€/100 kilos;57,5;76;76;76;76;76;76;76;76;76;76;76;76;
Fertilizantes complejos;;;;;;;;;;;;;;;;
702207;8/15/15;€/100 kilos;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;36,82;
702209;8/24/16;€/100 kilos;41,23;41,23;40,73;40,73;40,73;41,77;41,77;41,77;41,77;41,77;41,77;41,47;41,37;
702210;9/18/27;€/100 kilos;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;45,42;
702213;15/15/15;€/100 kilos;38,16;36,21;36,92;36,92;36,92;37,92;35,89;35,89;35,89;36,92;36,92;37,7;36,63;
Piensos simples ;;;;;;;;;;;;;;;;
703101;Trigo;€/100 kilos;26,94;27,22;26,94;26,81;27,54;27,52;27,27;27,77;28,14;28,14;28,14;28,53;27,72;
703102;Cebada;€/100 kilos;23,52;23,45;23,85;24,71;24,71;24,47;24,1;24,47;24,92;25,19;25,19;25,04;24,68;
703103;Avena;€/100 kilos;32,51;34,33;32,51;32,74;32,74;34,63;33,63;33,63;33,63;33,63;33,63;33,63;33,38;
703104;Maíz;€/100 kilos;25,07;25,38;25,17;24,97;24,97;24,93;24,71;24,83;26,04;26,3;26,3;26,06;25,55;
703105;Salvado de trigo;€/100 kilos;26,19;26,12;25,59;25,39;26,19;26,12;26,12;26,12;26,37;26,37;26,37;26,76;26,14;
703106;Paja de cereales;€/100 kilos;12,14;11,91;12,07;12,27;12,11;10,98;10,31;10,31;9,71;10,06;10,06;10,54;10,67;
703107;Harina de soja;€/100 kilos;41,23;41,23;42,2;42,39;44,33;42,85;42,85;42,47;41,07;40,14;41,52;40,94;41,53;
703111;Pulpa de remolacha;€/100 kilos;23,86;24,15;24,01;26,02;26,04;25,62;26,12;26,24;26,24;26,12;26,72;28,05;26,19;
703113;Alfalfa deshidratada;€/100 kilos;20,74;20,22;20,74;21,34;21,51;21,51;21,84;22,01;22,21;22,42;22,92;23,28;22,1;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;96,95;96,95;97,4;97,1;97,1;97,1;97,4;97,4;97,4;97,4;97,4;97,4;97,36;
703212;Terneros cría;€/100 kilos;33,86;31,78;32,06;32,45;32,45;33,2;33,27;33,27;33,4;32,65;32,65;32,86;32,83;
703213;Terneros recría y cebo;€/100 kilos;28,34;29,58;29,01;29,29;29,29;28,84;28,91;28,91;29,26;29,44;29,44;30,81;29,38;
703214;Vacuno de leche;€/100 kilos;29,45;30,26;29,67;30,06;30,29;30,01;30,31;30,31;30,87;30,87;30,87;31,25;30,53;
703215;Vacuno de carne;€/100 kilos;27,42;28,38;27,75;28,15;28,15;28,15;28,25;28,25;28,46;28,19;28,19;28,05;28,16;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;34,92;34,92;35,37;34,8;34,8;33,72;33,72;33,72;33,86;33,86;33,86;35,01;34,46;
703223;Ovejas y cabras en lactación;€/100 kilos;31,64;31,7;30,65;30,65;30,65;29,15;29,15;29,15;29,15;32,6;32,6;29,15;30,8;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;37,66;37,66;39,2;39,5;39,5;39,5;39,5;39,5;39,5;38,56;38,56;39,5;39,14;
703232;Cerdos crecimiento y cebo;€/100 kilos;31,3;32;31,9;32,38;32,38;33,13;32,38;32,38;32,74;32,74;32,74;33,51;32,6;
703233;Cerdos reproductores;€/100 kilos;31,56;31,65;31,86;32,16;32,16;32,16;33,21;33,21;33,31;32,27;32,7;33,31;32,75;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;31,95;32;31,42;30,6;30,6;31,32;31,32;31,32;31,7;31,7;31,7;31,7;31,47;
Aves;;;;;;;;;;;;;;;; 
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;
703252;Gallinas Ponedoras;€/100 kilos;37,56;38,45;37,56;37,71;37,84;38,17;38,71;38,71;39,15;39,15;39,15;37,94;38,51;
703253;Pollos de carne;€/100 kilos;38,74;39,05;38,74;39;39;39,94;39,94;39,94;40,37;40,37;40,37;39,42;39,71;
;;;;;;;;;;;;;;;;
Nota: Elabora Sección de Prospectiva y Estadística. Consejería de Desarrollo Rural y Recursos Naturales.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRECIOS PAGADOS EN ASTURIAS. Año 2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,62;0,62;0,62;0,62;0,62;0,62;0,62;0,62;0,62;0,62;;;;
;Maíz grano híbrido;€/kilo;;;;;;;;;;;;;;
;Maíz forrajero;€/kilo;6,64;6,64;6,64;6,64;7,37;7,37;6,68;6,68;6,64;6,64;;;;
701112;Judía verde;€/kilo;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;;;;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,8;1,83;1,83;1,83;1,88;1,88;1,88;2,09;2,27;2,74;;;;
Varios;;;;;;;;;;;;;;;;
;Lámina de plástico para silo;€/100 kilos;2,72;2,72;2,72;2,72;3,28;3,28;3,28;1,81;1,5;1,5;;;;
;ACEITE M-3 envase 5 litros ;€/litro;;;;;;;;;;;;;;
;"Gas-oil ""B""";€/litro;0,66;0,68;0,71;0,72;0,75;0,72;0,69;0,71;0,73;0,73;;;;
Fertilizantes simples;;;;;;;;;;;;;;;;
702104;Nitrato amónico cálcico 26%;€/100 kilos;28,97;28,72;28,72;28,09;28,82;27,72;27,72;28,82;28,82;28,82;;;;
702108;Superfosfato de cal 18% (grano);€/100 kilos;23,55;23,55;23,55;23,55;23,55;23,55;23,55;23,55;23,55;23,55;;;;
702111;Sulfato potásico 50%;€/100 kilos;76;76;86,83;76;76;76;76;76;76;76;;;;
Fertilizantes complejos;;;;;;;;;;;;;;;;
702207;8/15/15;€/100 kilos;37,66;37,66;37,66;37,66;37,66;37,66;37,66;37,66;37,66;37,66;;;;
702209;8/24/16;€/100 kilos;42,96;43,76;43,76;43,76;43,76;43,76;42,63;44,94;44,94;43,76;;;;
702210;9/18/27;€/100 kilos;45,42;45,14;45,14;45,14;45,14;45,14;45,14;45,14;45,14;45,14;;;;
702213;15/15/15;€/100 kilos;40,95;38,72;40,66;40,73;40,66;38,72;38,72;41,82;41,82;40,66;;;;
Piensos simples ;;;;;;;;;;;;;;;;
703101;Trigo;€/100 kilos;28,27;28,27;28,27;28,27;28,27;28,27;28,27;28,53;27,55;27,55;;;;
703102;Cebada;€/100 kilos;25,27;25,27;25,35;25,35;25,14;25,14;25,14;25,39;25,09;25,09;;;;
703103;Avena;€/100 kilos;34,3;34,3;34,3;34,3;34,3;34,3;34,3;31,84;34,97;34,97;;;;
703104;Maíz;€/100 kilos;26,06;26,04;26,04;26,04;26,19;26,19;26,19;26,42;25,22;25,09;;;;
703105;Salvado de trigo;€/100 kilos;26,87;26,87;26,87;26,87;26,87;26,87;26,87;26,87;26,87;26,87;;;;
703106;Paja de cereales;€/100 kilos;10,07;10,07;10,07;10,07;10,07;10,07;10,41;10,41;10,41;10,6;;;;
703107;Harina de soja;€/100 kilos;41,36;41,36;41,36;41,36;40,82;40,82;41,36;41,36;41,26;41,09;;;;
703111;Pulpa de remolacha;€/100 kilos;28,39;28,39;28,39;28,39;27,29;28,39;27,29;27,89;27,89;27,77;;;;
703113;Alfalfa deshidratada;€/100 kilos;23,28;23,28;23,28;23,28;23,28;23,28;23,81;23,98;24,14;24,14;;;;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;;;;
703212;Terneros cría;€/100 kilos;32,65;32,65;32,65;32,65;32,86;32,65;32,65;32,86;32,8;32,8;;;;
703213;Terneros recría y cebo;€/100 kilos;29,81;29,81;29,81;29,81;29,91;29,89;29,89;30,81;30,45;30,45;;;;
703214;Vacuno de leche;€/100 kilos;32,32;32,32;32,32;32,32;31,24;31,24;31,24;31,2;30,88;30,9;;;;
703215;Vacuno de carne;€/100 kilos;28,69;28,69;28,69;28,69;28,69;28,69;28,69;28,83;28,98;28,98;;;;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;35,01;35,01;35,01;35,01;35,01;35,01;35,01;35,01;34,8;34,8;;;;
703223;Ovejas y cabras en lactación;€/100 kilos;30,65;30,65;30,65;30,65;30,65;30,65;30,65;30,16;30,39;30,65;;;;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;38,56;38,56;38,56;38,56;39,5;39,5;39,5;38,56;40,24;39,5;;;;
703232;Cerdos crecimiento y cebo;€/100 kilos;32,74;32,74;32,74;32,74;32,74;32,74;32,74;32,71;32,51;32,45;;;;
703233;Cerdos reproductores;€/100 kilos;32,27;32,27;32,27;32,27;32,27;33,31;33,31;32,47;32,27;32,27;;;;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;;;;
Aves;;;;;;;;;;;;;;;;
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;;;;
703252;Gallinas Ponedoras;€/100 kilos;37,94;38,28;38,28;38,28;38,28;38,28;38,28;38,28;37,79;37,79;;;;
703253;Pollos de carne;€/100 kilos;39,42;39,42;39,42;39,18;40,37;40,37;39,42;38,84;38,48;38,02;;;;
;;;;;;;;;;;;;;;;
Nota: Elabora Sección de Prospectiva y Estadística. Consejería de Desarrollo Rural, Agroganadería y Pesca;;;;;;;;;;;;;;;;
